DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,FORM_NAME,FORM_50,COMMON_CONTROL_1,COMMON_CONTROL_2,MULTIPLE_MEASUREMENT,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
14,1437,Trifluralin,0.0122,EC50,Treflan,0.178,1437_d,1437_d,1437_4,Selenastrum capricornutum,,96,Herbicide,,Chronic,Emusifiable Concentrate,UNSURE,,,
15,1437,Trifluralin,>100,LD50,Treflan,>80,1437_e,1437_e,1437_5,Apis mellifera,Honeybee,,Herbicide,Oral,Acute,Emusifiable Concentrate,YES,NA,,
16,1437,Trifluralin,>100,LD50,Treflan,>100,1437_f,1437_f,1437_6,Apis mellifera,Honeybee,,Herbicide,Contact,Acute,Emusifiable Concentrate,YES,NA,,
17,1437,Trifluralin,>500,LC50,Treflan,>240,1437_g,1437_g,1437_7,,Earthworm,,Herbicide,,Acute,Emusifiable Concentrate,YES,NA,,
18,1438,Tolylfluanid,>197,LD50,Euparen M WG 50,>222,1438_a,1438_a,1438_1,Apis mellifera,Honeybee,,Fungicide,Oral,Acute,Water dispersible granule ,YES,NA,,
19,1438,Tolylfluanid,>196,LD50,Euparen M WG 50,>200,1438_b,1438_b,1438_2,Apis mellifera,Honeybee,,Fungicide,Contact,Acute,Water dispersible granule ,YES,NA,,
20,1438,Tolylfluanid,>1000,LC50,Euparen M WG 50,>961,1438_c,1438_c,1438_3,,Earthworm,,Fungicide,,Acute,Water dispersible granule ,YES,NA,,
21,1445,Tolclofos-methyl,>5000,LD50,Rizolex 50 WP,>3777,1445_a,1445_a,1445_1,Colinus virginianus,Bobwhite quail ,,Fungicide,,Acute,Wettable Powder,YES,NA,,
22,1445,Tolclofos-methyl,48,EC50,Rizolex 50 WP,30,1445_b,1445_b,1445_2,Daphnia magna,Water flea,48,Fungicide,,Acute,Wettable Powder,UNSURE,,,
23,1445,Tolclofos-methyl,0.69,LC50,Rizolex 50 WP,26,1445_c,1445_c,1445_3,Oncorhynchus mykiss,Rainbow trout ,96,Fungicide,,Acute,Wettable Powder,UNSURE,,,
24,1445,Tolclofos-methyl,>1.1,EC50,Rizolex 50 WP,>1.7,1445_d,1445_d,1445_4,Scenedesmus subspicatus,,72,Fungicide,,Acute,Wettable Powder,UNSURE,,,
25,1445,Tolclofos-methyl,>500,LC50,25SC,>500,1445_e,1445_g,1445_5,,Earthworm,,Fungicide,,Acute,Soluble Concentrate,YES,NA,,
26,1445,Tolclofos-methyl,>500,LC50,10Dust,>500,1445_e,1445_f,1445_6,,Earthworm,,Fungicide,,Acute,Powder,YES,NA,,
27,1447,Triticonazole,>3.6,LC50,CRLD 001002,0.89,1447_a,1447_a,1447_1,Oncorhynchus mykiss,Rainbow trout ,96,Fungicide,,Acute,UNSURE,YES,NA,,
28,1447,Triticonazole,9,EC50,EXP 10642A,0.78,1447_b,1447_b,1447_2,Daphnia magna,Water flea,48,Fungicide,,Acute,UNSURE,YES,NA,,
29,1447,Triticonazole,>1000,LC50,EXP 80472B,>1000,1447_c,1447_c,1447_3,,Earthworm,,Fungicide,,Acute,UNSURE,UNSURE,,,
30,1446,Clodinafop-propargyl,1392,LD50,TOPIK 100EC,234,1446_a,1446_a,1446_1,,Mammals,,Herbicide,,Acute,Emusifiable Concentrate,YES,NA,,
31,1446,Clodinafop-propargyl,>93.7,LD50,TOPIK 100EC,17.8,1446_b,1446_b,1446_2,Apis mellifera,Honeybee,,Herbicide,Oral,Acute,Emusifiable Concentrate,YES,NA,,
32,1446,Clodinafop-propargyl,197,LC50,TOPIK 100EC,28.3,1446_c,1446_c,1446_3,,Earthworm,,Herbicide,,Acute,Emusifiable Concentrate,YES,NA,,
33,1443,Pirimiphos-methyl,0.404,LC50,Actellic 50EC,0.266,1443_a,1443_a,1443_1,Oncorhynchus mykiss,Rainbow trout ,96,Insecticide,,Acute,Emusifiable Concentrate,YES,NA,,
34,1443,Pirimiphos-methyl,0.00021,EC50,Actellic 50EC,0.00025,1443_b,1443_b,1443_2,Daphnia magna,Water flea,48,Insecticide,,Acute,Emusifiable Concentrate,YES,NA,,
35,1443,Pirimiphos-methyl,1.4,LC50,Actellic 50EC,0.76,1443_c,1443_c,1443_3,Cyrpinus carpio,,96,Insecticide,,Acute,Emusifiable Concentrate,YES,NA,,
36,1442,Pirimicarb,0.017,EC50,Pirimor,0.024,1442_a,1442_a,1442_1,Daphnia magna,Water flea,48,Insecticide,,Acute,Water dispersible granule ,UNSURE,,,
37,1442,Pirimicarb,4,LD50,Pirimor,14,1442_b,1442_b,1442_2,Apis mellifera,Honeybee,24,Insecticide,Oral,Acute,Water dispersible granule ,YES,NA,,
38,1449,Thiodicarb,0.027,EC50,Larvin,0.109,1449_a,1449_a,1449_1,Daphnia magna,Water flea,48,Insecticide,,Acute,Soluble Concentrate,NO,YES,,
39,1449,Thiodicarb,38.5,LC50,Larvin,90.3,1449_b,1449_b,1449_2,,Earthworm,,Insecticide,,Acute,Soluble Concentrate,YES,NA,,
40,1448,Trinexapac-ethyl,>142.5,EC50,Moddus 250 EC,0.73,1448_a,1448_a,1448_1,Daphnia magna,Water flea,48,Plant growth regulator,,Acute,Emusifiable Concentrate,YES,NA,,
41,1448,Trinexapac-ethyl,8.8,EC50,Moddus 250 EC,5.5,1448_b,1448_b,1448_2,Lemna gibba,,168,Plant growth regulator,,Acute,Emusifiable Concentrate,YES,NA,,
42,1451,Metrafenone,>0.82,LC50,BAS 560 00F,>28.2,1451_a,1451_b,1451_1,Oncorhynchus mykiss,Rainbow trout ,96,Fungicide,,Acute,Suspension Concentrate,NO,YES,,
43,1451,Metrafenone,>0.82,LC50,BAS 560 02F,>57.2,1451_a,1451_c,1451_2,Oncorhynchus mykiss,Rainbow trout ,96,Fungicide,,Acute,Suspension Concentrate,NO,YES,,
44,1451,Metrafenone,>0.92,EC50,BAS 560 00F,6,1451_d,1451_e,1451_3,Daphnia magna,Water flea,48,Fungicide,,Acute,Suspension Concentrate,NO,YES,,
45,1451,Metrafenone,>0.92,EC50,BAS 560 02F,>1.09,1451_d,1451_f,1451_4,Daphnia magna,Water flea,48,Fungicide,,Acute,Suspension Concentrate,NO,YES,,
46,1451,Metrafenone,>0.87,EC50,BAS 560 00F,6.3,1451_g,1451_h,1451_5,Selenastrum capricornutum,,72,Fungicide,,Acute,Suspension Concentrate,NO,YES,,
47,1451,Metrafenone,>0.87,EC50,BAS 560 02F,>1.24,1451_g,1451_i,1451_6,Selenastrum capricornutum,,72,Fungicide,,Acute,Suspension Concentrate,NO,YES,,
48,1451,Metrafenone,>114,LD50,BAS 560 00F,>32.7,1451_j,1451_k,1451_7,Apis mellifera,Honeybee,,Fungicide,Oral,Acute,Suspension Concentrate,YES,NA,,
49,1451,Metrafenone,>114,LD50,BAS 560 02F,>58.3,1451_j,1451_l,1451_8,Apis mellifera,Honeybee,,Fungicide,Contact,Acute,Suspension Concentrate,YES,NA,,
50,1451,Metrafenone,>100,LD50,BAS 560 00F,>28.8,1451_m,1451_n,1451_9,Apis mellifera,Honeybee,,Fungicide,Oral ,Acute,Suspension Concentrate,YES,NA,,
51,1451,Metrafenone,>100,LD50,BAS 560 02F,>48.9,1451_m,1451_o,1451_10,Apis mellifera,Honeybee,,Fungicide,Contact,Acute,Suspension Concentrate,YES,NA,,
52,1451,Metrafenone,>500,LC50,BAS 560 00F,>150,1451_p,1451_q,1451_11,,Earthworm,,Fungicide,,Acute,Suspension Concentrate,YES,NA,,
53,1451,Metrafenone,>500,LC50,BAS 560 02F,>250,1451_p,1451_r,1451_12,,Earthworm,,Fungicide,,Acute,Suspension Concentrate,YES,NA,,
54,1452,Fenitrothion,330,LD50,IPM 400,8800,1452_a,1452_a,1452_1,,Mammals,,Insecticide,,Acute,Capsule Suspension Concentrate,YES,NA,,
55,1452,Fenitrothion,23,LD50,IPM 400,47.1,1452_b,1452_b,1452_2,,Birds,,Insecticide,Oral,Chronic,Capsule Suspension Concentrate,YES,NA,,
56,1452,Fenitrothion,1.3,LC50,IPM 400,>2.1,1452_c,1452_c,1452_3,Oncorhynchus mykiss,Rainbow trout ,96,Insecticide,,Acute,Capsule Suspension Concentrate,YES,NA,,
57,1452,Fenitrothion,0.2,LD50,IPM 400,16.48,1452_d,1452_d,1452_4,Apis mellifera,Honeybee,,Insecticide,Oral,Acute,Capsule Suspension Concentrate,YES,NA,,
58,1452,Fenitrothion,0.16,LD50,IPM 400,9.38,1452_e,1452_e,1452_5,Apis mellifera,Honeybee,,Insecticide,Contact,Acute,Capsule Suspension Concentrate,YES,NA,,
59,1453,Pyrimethanil,10.56,LC50,Scala,19,1453_a,1453_a,1453_1,Oncorhynchus mykiss,Rainbow trout ,96,Fungicide,,Acute,Suspension Concentrate,UNSURE,,,
60,1453,Pyrimethanil,2.9,EC50,Scala,3.8,1453_b,1453_b,1453_2,Daphnia magna,Water flea,48,Fungicide,,Acute,Suspension Concentrate,UNSURE,,,
61,1453,Pyrimethanil,5.84,EC50,Scala,13.1,1453_c,1453_c,1453_3,,Green alga,96,Fungicide,,Acute,Suspension Concentrate,UNSURE,,,
62,1453,Pyrimethanil,>100,LD50,Scala,>80,1453_d,1453_d,1453_4,Apis mellifera,Honeybee,,Fungicide,Oral,Acute,Suspension Concentrate,NO,YES,,
63,1453,Pyrimethanil,>100,LD50,Scala,>80,1453_e,1453_e,1453_5,Apis mellifera,Honeybee,,Fungicide,Contact,Acute,Suspension Concentrate,NO,YES,,
64,1453,Pyrimethanil,313,LC50,Scala,>187,1453_f,1453_f,1453_6,,Earthworm,336,Fungicide,,Acute,Suspension Concentrate,YES,NA,,
65,1454,Malathion,359,LD50,Fyfanon,214,1454_a,1454_a,1454_1,Colinus virginianus,Bobwhite quail ,,Insecticide,,Acute,Oil in water emulsion,YES,NA,,
66,1454,Malathion,0.022,LC50,Fyfanon,0.053,1454_b,1454_b,1454_2,,Fish,96,Insecticide,,Acute,Oil in water emulsion,UNSURE,,,
67,1454,Malathion,0.00072,EC50,Fyfanon,0.0018,1454_c,1454_c,1454_3,Daphnia magna,Water flea,48,Insecticide,,Acute,Oil in water emulsion,UNSURE,,,
68,1454,Malathion,306,LC50,Fyfanon,58,1454_d,1454_d,1454_4,,Earthworm,336,Insecticide,,Acute,Oil in water emulsion,YES,NA,,
69,1450,Metconazole,4.2,EC50,Caramba 60 SL,0.365,1450_a,1450_a,1450_1,Daphnia magna,Water flea,48,Fungicide,,Acute,Soluble Concentrate,YES,NA,,
70,1450,Metconazole,1.7,EC50,Caramba 60 SL,5.13,1450_b,1450_b,1450_2,Selenastrum capricornutum,,72,Fungicide,,Acute,Soluble Concentrate,YES,NA,,
71,1457,Fipronil,>1000,LC50,Regent 500FS,>1000,1457_a,1457_a,1457_1,,Earthworm,,Insecticide,,Acute,Flowable concentrate,UNSURE,,,
72,1455,Ethoprophos,47,LD50,Mocap 10G,32.9,1455_a,1455_a,1455_1,,Rat,,Insecticide,,Acute,Granule,YES,NA,,
73,1458,Cadusafos,16.1,LD50,Rugby 200CS,20.52,1458_a,1458_a,1458_1,Colinus virginianus,Bobwhite quail ,,Insecticide,Oral,Acute,Capsule Suspension,UNSURE,,,
74,1458,Cadusafos,130,LC50,Rugby 200CS,900,1458_b,1458_b,1458_2,Oncorhynchus mykiss,Rainbow trout ,96,Insecticide,,Acute,Capsule Suspension,UNSURE,,,
75,1458,Cadusafos,0.75,LC50,Rugby 200CS,0.22,1458_c,1458_c,1458_3,Daphnia magna,Water flea,48,Insecticide,,Acute,Capsule Suspension,UNSURE,,,
76,1465,Formetanate hydrochloride,1.3,EC50,Dicarzol 500 SG,0.6,1465_a,1465_a,1465_1,Selenastrum capricornutum,,72,Insecticide,,Acute,Water soluble granule ,NO,YES,,
77,1463,Phosmet ,0.23,LC50,Imidan 50 WP,0.073,1463_a,1463_a,1463_1,Oncorhynchus mykiss,Rainbow trout ,96,Insecticide,,Acute,Wettable Powder,UNSURE,,,
78,1463,Phosmet ,0.51,EC50,Imidan 50 WP,1.795,1463_b,1463_b,1463_2,,Algae,72,Insecticide,,Acute,Wettable Powder,UNSURE,,,
79,1463,Phosmet ,0.0021,EC50,Imidan 50 WP,0.0022,1463_c,1463_c,1463_3,Daphnia magna,Water flea,48,Insecticide,,Acute,Wettable Powder,UNSURE,,,
80,1462,Carbaryl,614,LD50,Sevin XLR Plus,300,1462_a,1462_a,1462_1,,Rat,,Plant growth regulator,,Acute,Suspension Concentrate,YES,NA,,
81,1462,Carbaryl,>0.21,LD50,Sevin XLR Plus,>0.69,1462_b,1462_b,1462_2,Apis mellifera,Honeybee,72,Plant growth regulator,Oral,Acute,Suspension Concentrate,YES,NA,,
82,1462,Carbaryl,0.14,LD50,Sevin XLR Plus,>1.69,1462_c,1462_c,1462_3,Apis mellifera,Honeybee,72,Plant growth regulator,Contact,Acute,Suspension Concentrate,YES,NA,,
83,1467,Dimethomorph,3900,LD50,Forum,135,1467_a,1467_a,1467_1,,Mammals,,Fungicide,,Acute,Dispersible Concentrate,YES,NA,,
84,1467,Dimethomorph,>2000,LD50,Forum,186,1467_b,1467_b,1467_2,Colinus virginianus,Bobwhite quail ,,Fungicide,,Acute,Dispersible Concentrate,YES,NA,,
85,1467,Dimethomorph,3.4,LC50,Forum,2.64,1467_c,1467_c,1467_3,Oncorhynchus mykiss,Rainbow trout ,96,Fungicide,,Acute,Dispersible Concentrate,UNSURE,,,
86,1467,Dimethomorph,>32.4,LD50,Forum,>74.4,1467_d,1467_d,1467_4,Apis mellifera,Honeybee,48,Fungicide,Oral ,Acute,Dispersible Concentrate,UNSURE,,,
87,1467,Dimethomorph,>102,LD50,Forum,>100,1467_e,1467_e,1467_5,Apis mellifera,Honeybee,48,Fungicide,Contact,Acute,Dispersible Concentrate,UNSURE,,,
88,1467,Dimethomorph,>500,LC50,Forum,99.5,1467_f,1467_f,1467_6,,Earthworm,,Fungicide,,Acute,Dispersible Concentrate,YES,NA,,
89,1471,Methomyl,30,LD50,Methomyl 20SL,27.35,1471_a,1471_a,1471_1,,Mammals,,Insecticide,,Acute,Soluble Concentrate,YES,NA,,
90,1471,Methomyl,24.2,LD50,Methomyl 20SL,30.4,1471_b,1471_b,1471_2,Colinus virginianus,Bobwhite quail ,,Insecticide,,Acute,Soluble Concentrate,UNSURE,,,
91,1471,Methomyl,0.63,LC50,Methomyl 20SL,1.1,1471_c,1471_c,1471_3,Lepomis macrochirus,Bluegill sunfish,96,Insecticide,,Acute,Soluble Concentrate,UNSURE,,,
92,1471,Methomyl,0.28,LD50,Methomyl 20SL,0.2,1471_d,1471_d,1471_4,Apis mellifera,Honeybee,48,Insecticide,Oral,Acute,Soluble Concentrate,YES,NA,,
93,1471,Methomyl,0.16,LD50,Methomyl 20SL,0.17,1471_e,1471_e,1471_5,Apis mellifera,Honeybee,48,Insecticide,Contact,Acute,Soluble Concentrate,YES,NA,,
94,1469,Dimethoate,2,EC50,Dimethoate 400 EC,2.2,1469_a,1469_a,1469_1,Daphnia magna,Water flea,48,Insecticide,,Acute,Emusifiable Concentrate,YES,NA,,
95,1469,Dimethoate,90.4,EC50,Dimethoate 400 EC,93.3,1469_b,1469_b,1469_2,Selenastrum capricornutum,,72,Insecticide,,Acute,Emusifiable Concentrate,YES,NA,,
96,1469,Dimethoate,31,LC50,Dimethoate 400 EC,84.5,1469_c,1469_c,1469_3,,Earthworm,336,Insecticide,,Acute,Emusifiable Concentrate,YES,NA,,
97,1472,Diazinon,0.09,LD50,Diazol 60 EC,0.13,1472_a,1472_a,1472_1,Apis mellifera,Honeybee,48,Insecticide,,Acute,Emusifiable Concentrate,YES,NA,,
98,1472,Diazinon,0.13,LD50,Diazol 60 EC,0.63,1472_b,1472_b,1472_2,Apis mellifera,Honeybee,48,Insecticide,,Acute,Emusifiable Concentrate,YES,NA,,
99,1470,Oxydemeton-methyl,34,LD50,Metasystox 250 EC,16.24,1470_a,1470_a,1470_1,Colinus virginianus,Bobwhite quail ,,Insecticide,,Acute,Emusifiable Concentrate,YES,NA,,
100,1470,Oxydemeton-methyl,0.11,EC50,Metasystox 250 EC,0.34,1470_b,1470_b,1470_2,Daphnia magna,Water flea,48,Insecticide,,Acute,Emusifiable Concentrate,YES,NA,,
101,1470,Oxydemeton-methyl,115,LC50,Metasystox 250 EC,80,1470_c,1470_c,1470_3,,Earthworm,336,Insecticide,,Acute,Emusifiable Concentrate,YES,NA,,
102,1570,Haloxyfop-R methyl ester,>12.3,EC50,EF-1400,1.56,1474_b,1474_b,1474_2,Daphnia magna,Water flea,48,Herbicide,,Acute,Emusifiable Concentrate,YES,NA,,
103,1570,Haloxyfop-R methyl ester,3.1,EC50,EF-1400,23.4,1474_d,1474_d,1474_4,Lemna minor,,336,Herbicide,,Acute,Emusifiable Concentrate,NO,YES,,
104,1570,Haloxyfop-R methyl ester,672,LC50,EF-1400,40.6,1474_g,1474_g,1474_7,,Earthworm,,Herbicide,,Acute,Emusifiable Concentrate,YES,NA,,
105,1475,Metribuzin,74.6,LC50,Mistral,134.2,1475_a,1475_a,1475_1,Oncorhynchus mykiss,Rainbow trout ,96,Herbicide,,Acute,Water dispersible granule ,UNSURE,,,
106,1475,Metribuzin,49,EC50,Mistral,58,1475_b,1475_b,1475_2,Daphnia magna,Water flea,48,Herbicide,,Acute,Water dispersible granule ,UNSURE,,,
107,1475,Metribuzin,0.02,EC50,Mistral,0.04,1475_c,1475_c,1475_3,Scenedesmus subspicatus,,72,Herbicide,,Acute,Water dispersible granule ,UNSURE,,,
108,1475,Metribuzin,166,LD50,Mistral,37.1,1475_d,1475_e,1475_4,Apis mellifera,Honeybee,,Herbicide,Oral,Acute,Water dispersible granule ,YES,NA,,
109,1475,Metribuzin,166,LD50,Metribuzin 70 WG,134,1475_d,1475_f,1475_5,Apis mellifera,Honeybee,,Herbicide,Oral,Acute,Water dispersible granule ,YES,NA,,
110,1475,Metribuzin,200,LD50,Mistral,200,1475_g,1475_h,1475_6,Apis mellifera,Honeybee,,Herbicide,Contact,Acute,Water dispersible granule ,YES,NA,,
111,1475,Metribuzin,200,LD50,Metribuzin 70 WG,700,1475_g,1475_i,1475_7,Apis mellifera,Honeybee,,Herbicide,Contact,Acute,Water dispersible granule ,YES,NA,,
112,1569,Carbosulfan,10,LD50,Marshal 25CS,12,1477_a,1477_a,1477_1,Anas platyrhynchos,,,Insecticide,,Acute,Granule,UNSURE,,,
113,1569,Carbosulfan,0.0015,EC50,Marshal 10G,0.00105,1477_b,1477_c,1477_2,Daphnia magna,Water flea,48,Insecticide,,Acute,Granule,YES,NA,,
114,1569,Carbosulfan,0.0015,EC50,Marshal 25CS,0.00104,1477_b,1477_d,1477_3,Daphnia magna,Water flea,48,Insecticide,,Acute,Granule,YES,NA,,
115,1479,Spriromesifen,0.016,LC50,Oberon SC 240,0.105,1479_a,1479_a,1479_1,Oncorhynchus mykiss,Rainbow trout ,96,Insecticide,,Acute,Suspension Concentrate,YES,NA,,
116,1479,Spriromesifen,>0.034,LC50,Oberon SC 240,0.057,1479_b,1479_b,1479_2,Lepomis macrochirus,,96,Insecticide,,Acute,Suspension Concentrate,YES,NA,,
117,1479,Spriromesifen,>0.092,EC50,Oberon SC 240,15.9,1479_c,1479_c,1479_3,Daphnia magna,Water flea,48,Insecticide,,Acute,Suspension Concentrate,YES,NA,,
118,1479,Spriromesifen,>0.094,EC50,Oberon SC 240,>1.48,1479_d,1479_d,1479_4,Pseudokirchneriella subcapitata,,72,Insecticide,,Acute,Suspension Concentrate,YES,NA,,
119,1479,Spriromesifen,792.4,LD50,Oberon SC 240,>60.2,1479_e,1479_e,1479_5,Apis mellifera,Honeybee,,Insecticide,Oral,Acute,Suspension Concentrate,YES,NA,,
120,1479,Spriromesifen,>200,LD50,Oberon SC 240,>200,1479_f,1479_f,1479_6,Apis mellifera,Honeybee,,Insecticide,Contact,Acute,Suspension Concentrate,YES,NA,,
121,1479,Spriromesifen,>1000,LC50,Oberon SC 240,>1000,1479_g,1479_g,1479_7,,Earthworm,,Insecticide,,Acute,Suspension Concentrate,YES,NA,,
122,1483,Benthiavalicarb-isopropyl,>10,LC50,KIF-230 15% WG,>15,1483_a,1483_a,1483_1,Oncorhynchus mykiss,Rainbow trout ,96,Fungicide,,Acute,Water dispersible granule ,NO,YES,,
123,1483,Benthiavalicarb-isopropyl,>10,EC50,KIF-230 15% WG,>15,1483_b,1483_b,1483_2,Daphnia magna,Water flea,48,Fungicide,,Acute,Water dispersible granule ,NO,YES,,
124,1483,Benthiavalicarb-isopropyl,>10,EC50,KIF-230 15% WG,>15,1483_c,1483_c,1483_3,Pseudokirchneriella subcapitata,,72,Fungicide,,Acute,Water dispersible granule ,NO,YES,,
125,1483,Benthiavalicarb-isopropyl,>100,LD50,KIF-230 15% WG,>100,1483_d,1483_d,1483_4,Apis mellifera,Honeybee,,Fungicide,Oral,Acute,Water dispersible granule ,YES,NA,,
126,1483,Benthiavalicarb-isopropyl,>100,LD50,KIF-230 15% WG,>100,1483_e,1483_e,1483_5,Apis mellifera,Honeybee,,Fungicide,Contact,Acute,Water dispersible granule ,YES,NA,,
127,1482,Clomazone,12.7,EC50,Command 360 CS,155.7,1482_a,1482_a,1482_1,Daphnia magna,Water flea,48,Herbicide,,Acute,Capsule Suspension,YES,NA,,
128,1482,Clomazone,34,EC50,Command 360 CS,357,1482_b,1482_b,1482_2,Lemna gibba,,168,Herbicide,,Acute,Capsule Suspension,YES,NA,,
129,1482,Clomazone,4.1,EC50,Command 360 CS,116.1,1482_c,1482_c,1482_3,Pseudokirchneriella subcapitata,,72,Herbicide,,Acute,Capsule Suspension,YES,NA,,
130,1484,Fludioxonil,>5000,LD50,Celest 025 FS,>3000,1484_a,1484_a,1484_1,,Mammals,,Fungicide,,Acute,Suspension Concentrate,YES,NA,,
131,1484,Fludioxonil,0.23,LC50,Celest 025 FS,0.583,1484_b,1484_b,1484_2,Oncorhynchus mykiss,Rainbow trout ,96,Fungicide,,Acute,Suspension Concentrate,YES,NA,,
132,1481,Prosulfocarb,0.51,EC50,A-8545 C ,0.42,1481_a,1481_a,1481_1,Daphnia magna,Water flea,48,Herbicide,,Acute,UNSURE,YES,NA,,
133,1481,Prosulfocarb,0.12,EC50,80% EC,0.114,1481_b,1481_b,1481_2,Pseudokirchneriella subcapitata,,72,Herbicide,,Acute,Emusifiable Concentrate,YES,NA,,
134,1481,Prosulfocarb,>80,LD50,SF245,>79.3,1481_c,1481_c,1481_3,Apis mellifera,Honeybee,,Herbicide,Contact,Acute,UNSURE,YES,NA,,
135,1481,Prosulfocarb,71.8,LC50,80EW,>54.5,1481_d,1481_e,1481_4,Eisenia foetida,Earthworm,336,Herbicide,,Acute,UNSURE,YES,NA,,
136,1481,Prosulfocarb,71.8,LC50,80EC,>3,1481_d,1481_f,1481_5,Eisenia foetida,Earthworm,336,Herbicide,,Acute,Emusifiable Concentrate,YES,NA,,
137,1486,Quinoclamine,>2000,LD50,Mogeton,>500,1486_a,1486_a,1486_1,,Birds,,Herbicide,,Acute,Wettable Powder,YES,NA,,
138,1486,Quinoclamine,394,LD50,Mogeton,>206,1486_b,1486_b,1486_2,,Birds,,Herbicide,,Short-term,Wettable Powder,YES,NA,,
139,1486,Quinoclamine,500,LD50,Mogeton,>1250,1486_c,1486_c,1486_3,,Mammals,,Herbicide,,Acute,Wettable Powder,YES,NA,,
140,1486,Quinoclamine,0.063,LC50,Mogeton,0.12,1486_d,1486_d,1486_4,Oncorhynchus mykiss,Rainbow trout ,96,Herbicide,,Acute,Wettable Powder,YES,NA,,
141,1486,Quinoclamine,2.15,EC50,Mogeton,0.93,1486_e,1486_e,1486_5,Daphnia magna,Water flea,48,Herbicide,,Acute,Wettable Powder,YES,NA,,
142,1486,Quinoclamine,0.022,EC50,Mogeton,0.022,1486_f,1486_f,1486_6,Scenedesmus subspicatus,,72,Herbicide,,Acute,Wettable Powder,YES,NA,,
143,1486,Quinoclamine,187,LC50,Mogeton,230,1486_g,1486_g,1486_7,Eisenia foetida,Earthworm,336,Herbicide,,Acute,Wettable Powder,YES,NA,,
144,1485,Fenoxaprop-P-ethyl,>3150,LD50,Puma S69,>2769,1485_a,1485_a,1485_1,,Rat,,Herbicide,,Acute,Oil in water emulsion,NO,YES,,
145,1485,Fenoxaprop-P-ethyl,>199,LD50,Puma S69,23.2,1485_b,1485_b,1485_2,Apis mellifera,Honeybee,,Herbicide,Oral,Acute,Oil in water emulsion,YES,NA,,
